,id_tienda,nombre_tienda,region,estado,ciudad,municipio,proto,long,lat,con_serv
0,4156,Cola De Ballena,Noroeste,Baja California Sur,La Paz,La Paz,SPCT-112,-110.343084,24.118732,Sí
1,1724,Los Reyes Pza Zumpango,Centro,Mexico,ZM del Valle de México,Zumpango,SPCT-127,-99.054728,19.78988,No
2,5791,Zinacantepec,Centro,Mexico,ZM de Toluca,Zinacantepec,SPCT-112,-99.699316,19.287137,No
3,1686,La Cima,Occidente,Jalisco,ZM de Guadalajara,Zapopan,SPCT-112,-103.411119,20.744996,No
4,3928,Guadalajara Parques,Occidente,Jalisco,ZM de Guadalajara,Zapopan,SPCT-112,-103.449,20.659,No
5,3055,Batan,Occidente,Jalisco,ZM de Guadalajara,Zapopan,SPCT-112,-103.345083,20.719685,No
6,3956,Calandrias Tesistan,Occidente,Jalisco,ZM de Guadalajara,Zapopan,SPCT-90,-103.455404,20.776893,No
7,2325,Colinas Del Padre,Bajio,Zacatecas,ZM de Zacatecas-Guadalupe,Zacatecas,SPCT-90,-102.590717,22.74878,No
8,3893,Xalapa,Sureste,Veracruz,ZM de Xalapa,Xalapa,SPCT-112,-96.907407,19.54189,No
9,2540,Victoria Centro,Noreste,Tamaulipas,Ciudad Victoria,Victoria,SPCT-112,-99.134833,23.740284,No
10,4122,Playa Norte,Sureste,Veracruz,ZM de Veracruz,Veracruz,SPCT-127,-96.192137,19.213462,No
11,1202,Horizonte,Centro,Mexico,ZM del Valle de México,Valle de Chalco Solidaridad,SPCT-127,-98.953462,19.2994,No
12,2050,Uruapan,Occidente,Michoacan,Uruapan,Uruapan,SPCT-112,-102.037961,19.42556,No
13,3127,Libramiento Norte,Suroeste,Chiapas,ZM de Tuxtla Gutiérrez,Tuxtla Gutiérrez,SPCT-112,-93.0767,16.7515,No
14,2218,Tuxpan,Sureste,Veracruz,Túxpam de Rodríguez Cano,Tuxpan,SPCT-90,-97.433461,20.947793,No
15,3622,La Rosita,Norte,Coahuila,ZM de La Laguna,Torreón,SPCT-112,-103.397353,25.507439,No
16,3211,Independencia Torreon,Norte,Coahuila,ZM de La Laguna,Torreón,SPCT-112,-103.413819,25.576305,No
17,3113,Nilo Lomas D L Pajaros,Occidente,Jalisco,ZM de Guadalajara,Tonalá,SPCT-112,-103.274609,20.639765,No
18,2343,Toluca,Centro,Mexico,ZM de Toluca,Toluca,SPCT-127,-99.639369,19.280955,No
19,5825,Alfredo Del Mazo,Centro,Mexico,ZM de Toluca,Toluca,SPCT-112,-99.634353,19.307819,No
20,1169,Plaza Arboledas,Centro,Mexico,ZM del Valle de México,Tlalnepantla de Baz,SPCT-127,-99.209048,19.546966,No
21,2041,Toltecas,Centro,Mexico,ZM del Valle de México,Tlalnepantla de Baz,SPCT-127,-99.192224,19.55499,No
22,2023,Macroplaza Insurgentes,Noroeste,Baja California,ZM de Tijuana,Tijuana,SPCT-127,-116.934604,32.495736,No
23,3664,Diaz Ordaz,Noroeste,Baja California,ZM de Tijuana,Tijuana,SPCT-112,-116.945,32.4882,No
24,1616,Pacifico,Noroeste,Baja California,ZM de Tijuana,Tijuana,SPCT-90,-117.00021,32.474796,No
25,4109,Puerta Texcoco,Centro,Mexico,ZM del Valle de México,Texcoco,SPCT-127,-98.91033,19.42904,No
26,3257,Tepatitlan,Occidente,Jalisco,Tepatitlán de Morelos,Tepatitlán de Morelos,SPCT-90,-102.777901,20.808274,No
27,1171,San Jose Tecamac,Centro,Mexico,ZM del Valle de México,Tecámac,SPCT-127,-98.980206,19.698952,No
28,3016,Macro Plaza Heroes,Centro,Mexico,ZM del Valle de México,Tecámac,SPCT-127,-99.0396,19.617075,No
29,4072,Tapachula Chiapas,Suroeste,Chiapas,Tapachula de Córdova y Ordóñez,Tapachula,SPCT-127,-92.283208,14.874482,No
30,1902,Aeropuerto Tampico,Noreste,Tamaulipas,ZM de Tampico,Tampico,SPCT-112,-97.8799,22.297349,No
31,1205,Alijadores,Noreste,Tamaulipas,ZM de Tampico,Tampico,SPCT-112,-97.867711,22.230357,No
32,1119,Colon,Occidente,Jalisco,ZM de Guadalajara,San Pedro Tlaquepaque,SPCT-127,-103.400437,20.603601,No
33,2075,Slp Muñoz,Bajio,San Luis Potosi,ZM de San Luis Potosí-Soledad de Graciano Sánchez,San Luis Potosí,SPCT-127,-100.999047,22.165865,No
34,1682,Salvador Nava,Bajio,San Luis Potosi,ZM de San Luis Potosí-Soledad de Graciano Sánchez,San Luis Potosí,SPCT-112,-100.957514,22.142571,No
35,2465,Saltillo,Norte,Coahuila,ZM de Saltillo,Saltillo,SPCT-127,-100.98,25.4243,No
36,3929,Salina Cruz Ii,Suroeste,Oaxaca,ZM de Tehuantepec,Salina Cruz,SPCT-112,-95.208992,16.232143,No
37,2541,Salamanca,Bajio,Guanajuato,Salamanca,Salamanca,SPCT-90,-101.184451,20.591588,No
38,1550,Macroplaza Vallarta,Occidente,Jalisco,ZM de Puerto Vallarta,Puerto Vallarta,SPCT-127,-105.218992,20.64571,No
39,2732,Hospital General,Centro,Puebla,ZM de Puebla-Tlaxcala,Puebla,SPCT-112,-98.2401,18.987,No
40,1509,15 De Mayo,Centro,Puebla,ZM de Puebla-Tlaxcala,Puebla,SPCT-112,-98.224344,19.076741,No
41,1326,Los Pinos Zaragoza,Centro,Puebla,ZM de Puebla-Tlaxcala,Puebla,SPCT-90,-98.175034,19.068815,No
42,4120,Poza Rica,Sureste,Veracruz,ZM de Poza Rica,Poza Rica de Hidalgo,SPCT-112,-97.437533,20.568688,No
43,2840,Insurgentes Chetumal,Sureste,Quintana Roo,Chetumal,Othón P. Blanco,SPCT-112,-88.281399,18.515097,No
44,3506,Simbolos Patrios,Suroeste,Oaxaca,ZM de Oaxaca,Oaxaca de Juárez,SPCT-112,-96.714676,17.031448,No
45,3091,Nuevo Laredo,Noreste,Tamaulipas,ZM de Nuevo Laredo,Nuevo Laredo,SPCT-112,-99.517997,27.444805,No
46,2042,Greco Nogales,Noroeste,Sonora,Heroica Nogales,Nogales,SPCT-112,-110.941743,31.289308,No
47,2643,Nicolas Romero,Centro,Mexico,ZM del Valle de México,Nicolás Romero,SPCT-127,-99.292183,19.627014,No
48,3355,Estadio,Occidente,Michoacan,ZM de Morelia,Morelia,SPCT-112,-101.223603,19.728243,No
49,3720,Lincoln,Noreste,Nuevo Leon,ZM de Monterrey,Monterrey,SPCT-112,-100.36972,25.730755,No
50,3051,Plaza Centrika,Noreste,Nuevo Leon,ZM de Monterrey,Monterrey,SPCT-112,-100.308379,25.701121,No
51,4137,Chapultepec,Noreste,Nuevo Leon,ZM de Monterrey,Monterrey,SPCT-112,-100.280615,25.665657,No
52,2304,Mexicali,Noroeste,Baja California,ZM de Mexicali,Mexicali,SPCT-127,-115.455678,32.622652,No
53,1617,Mexicali Novena,Noroeste,Baja California,ZM de Mexicali,Mexicali,SPCT-112,-115.385232,32.633963,No
54,2383,Merida,Sureste,Yucatan,ZM de Mérida,Mérida,SPCT-112,-89.616045,20.986177,No
55,3555,Periferico Merida,Sureste,Yucatan,ZM de Mérida,Mérida,SPCT-112,-89.6733,20.9968,No
56,3253,Altabrisa,Sureste,Yucatan,ZM de Mérida,Mérida,SPCT-112,-89.583038,21.011797,No
57,2204,Marina Mazatlan,Noroeste,Sinaloa,Mazatlán,Mazatlán,SPCT-112,-106.445167,23.279118,No
58,2080,Slp Arboledas,Bajio,San Luis Potosi,Matehuala,Matehuala,SPCT-90,-100.638629,23.657654,No
59,3719,Matamoros,Noreste,Tamaulipas,ZM de Matamoros,Matamoros,SPCT-127,-97.519514,25.859434,No
60,3745,Clouthier,Bajio,Guanajuato,ZM de Leon,León,SPCT-127,-101.691,21.1615,No
61,5687,Boulevard Delta,Bajio,Guanajuato,ZM de Leon,León,SPCT-112,-101.609706,21.11033,No
62,1974,Bosques De Renteria,Bajio,Guanajuato,ZM de Leon,León,SPCT-112,-101.64828,21.123415,No
