Estado,Venta_Promedio,distance_Km
Chihuahua,1348.5414115409226,4.211044308615864
Hidalgo,1575.1128563697282,3.964154695566685
Baja California,1230.2444297934617,3.8835000497409733
Puebla,1479.3973307003498,3.7493640267103623
Sinaloa,1427.2193973694482,3.6626887083112543
Yucatan,1384.2057010800447,3.5655980737886948
Morelos,1473.4532792405691,3.509634729851646
Queretaro,1368.3142869498818,3.4765630964447873
Aguascalientes,1392.7170921799748,3.473337174703064
Nayarit,1559.8524449313493,3.3778774286175883
Coahuila,1350.1989969457381,3.352952518595991
Michoacan,1382.8909585774022,3.298167400026358
Oaxaca,1460.5008236370718,3.2930088821020664
Baja California Sur,1594.0201599165691,3.230254244581074
Nuevo Leon,1412.5418294354781,3.221579883826439
Guerrero,1945.3478361564698,3.1732539095891172
Sonora,1500.2697886238366,3.1528819240263726
Jalisco,1427.6540248088986,3.1351201608609243
Chiapas,1815.23926728172,3.1131576853242215
Veracruz,1554.9667619100967,3.1078856869486176
San Luis Potosi,1517.113676305135,3.097840923026854
Mexico,1572.7518255137581,3.096412480038887
Tamaulipas,1381.3377464561092,3.0685073615628284
Zacatecas,1515.0628718489002,2.975418258798855
Guanajuato,1514.031734400024,2.888061893068824
Campeche,1268.3817884173297,2.8398034522973155
Durango,1244.45157228395,2.8225541507217033
Tabasco,1519.616245226993,2.6807170787429224
Tlaxcala,1374.8551397805222,2.5737707922937574
Quintana Roo,1521.8157131434261,2.5238629927138105
Distrito Federal,1512.448067626542,2.2986306743582547
Colima,1342.3553078249977,2.2939572911554036
