Det,Nombre,Venta_Promedio,distance_Km
4187,Rosarito,1327.6999992907806,7.581604161166056
1203,Super Plaza Ecatepec,1317.045280915457,4.767277943061931
2090,Angelopolis,1509.7940348214292,4.760235708743526
1107,Ixtapaluca,1296.4319540554686,4.673807688319113
3586,Juriquilla,1597.389284997945,4.5296778389869905
3588,Paraiso,1531.4950218930428,4.514985317003728
3263,Pilares,1691.8984689368328,4.4668203719844115
3864,Puebla Reforma,1569.2232511301158,4.463653382494996
3015,Ensenada,1100.5117036269426,4.46246550874024
3176,Ojo De Agua,1291.466618196614,4.388576246387402
3790,Metepec,1410.037219631058,4.363508680022724
3631,Tonala,1134.3278872652595,4.340728892747582
2377,Cd.Juarez,1307.6253478825138,4.291736944567345
1022,Lopez Mateos Sur,1433.1527039716304,4.214150465407526
2076,Miguel Aleman,1366.7533242594095,4.1872499523031745
3861,Revolucion,1299.6434726541727,4.175892287545162
1140,Plaza San Pedro,1111.4749003690033,4.174466714166134
1656,Club De Golf,1384.5396790865389,4.140050306793177
3886,Las Animas,1365.885930473377,4.135970819017948
1403,Chapala Ajijic,1807.1461528520515,4.01273629734682
2379,Culiacan,1455.6368068881304,3.999964474735457
3061,Pachuca,1575.1128563697282,3.964154695566685
3554,Mil Cumbres,1434.2064398021341,3.923919070949803
1067,Diamante,2134.4286948648632,3.8471035031296
3851,Aeropuerto,1297.2303843791622,3.8001203183653365
1016,Merida Norte,1435.0433089446592,3.7822321470854647
4048,Pensiones,1293.8336287997417,3.76870433111236
1833,Cerro De La Silla,1414.3892101815188,3.7611807090993485
1489,Hiperplaza Texcoco,1936.0111375614526,3.7313541635408027
2765,San Jose Del Cabo,1672.7067834733916,3.7301247409489404
2375,Torreon,1420.7205883217325,3.7081564708184747
1425,Bahia De Banderas,1732.143425219637,3.697302708253942
4011,Tijuana Hipodromo,1266.4246845197292,3.690519285791919
5749,Plaza De Toros,1383.1173927681775,3.6799001407808616
2346,Aguascalientes,1399.2254738063073,3.6648615459975056
4026,Galerias Del Valle,1177.3600897959186,3.6601413351916623
2463,Veracruz,1392.4088449233723,3.6182050073477794
3114,Cumbres Monterrey,1378.6333898568028,3.5963279845372784
5765,Las Americas,1493.4442848907788,3.5687225659242365
4155,Tijuana 2000,1382.7722807816529,3.550935027384065
4018,Santa Maria,1282.626083142131,3.4940030568669975
3854,Pirules,1405.4177002870633,3.466084378995425
1195,Galerias Las Torres,1329.4717822998698,3.4640516282385954
4191,Lago De Guadalupe,1333.019742481,3.461030938492726
5469,Rio De Los Remedios,1279.8135165173578,3.456087044293348
4157,Periferico Cuautitlan,1336.7196556837632,3.4533667700467405
2380,Cd. Obregon,1634.500049957484,3.430299638826225
2044,Valle Oriente,1318.0304093600769,3.400075071838333
1404,Galerias Saltillo,1269.4470353881272,3.3464574373871305
1027,Sendero,1292.1320158878514,3.3449818393704334
1462,Lerma Toluca,1669.5495729407214,3.328177505928165
2839,Xalapa Arco Sur,1496.0645790800277,3.313057630434174
1804,Macro Plaza Oaxaca,1460.5008236370718,3.2930088821020664
2431,San Luis Potosi,1521.1042273617509,3.244323800521684
5702,Santin,1454.32906215345,3.237744273124968
2211,Mahatma Gandhi,1384.341088,3.226853635993685
2053,Blvd Colosio,1454.0486413480915,3.2172531769921022
3747,El Pitillal,1559.2800681059027,3.1812017124070433
2384,Cancun Labna,1377.4169606410849,3.1808810766398725
1621,La Antorcha,1741.449867000002,3.1725117548117048
2378,Tampico,1389.4941365448526,3.159613253604221
2433,Leon Torres Landa,1329.5268027455531,3.158637908810055
2034,Las Torres,1537.8965607666182,3.1342964079653166
1130,Belisario Dominguez,1729.7068978187074,3.126529027324478
2079,Cd Jardin,1302.278289590562,3.126243583020501
2446,Averanda,1537.855899614444,3.1227741454822984
2356,Queretaro,1361.5446526141313,3.0563150786190953
2733,Poniente Queretaro,1168.284301515153,3.045095271949218
2033,Plaza Oriente,1410.592704405736,3.0033586497768154
2374,Jardines Del Country,1271.2047248511903,2.9938054266253773
3504,Av Jesus Del Monte,2166.2137181898997,2.983881553419018
3863,Periferico Sur,1581.3022737064705,2.9835183128799323
4073,Poligono,1416.1257440232682,2.9782145359978416
3069,Cabo San Lucas,1553.417915201151,2.976638891904507
4546,Zacatecas,1515.0628718489002,2.975418258798855
3895,Tepic,1335.8046983870968,2.9624957645743555
4062,Manzanillo,1667.2962330808084,2.9600993157951985
4719,San Cristobal,2844.855337421384,2.952197002377702
